plan_name;plan_description;plan_equipment_type;task_title;task_description;task_position;subtask_title;subtask_description;subtask_difficulty;subtask_requires_inspection;subtask_position
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Planeur monté - Vérification des jonctions et jeux mécaniques;Vérification de l'état des jonctions et des jeux mécaniques entre les différentes parties du planeur;1;Etat des jonctions - Appréciation des jeux mécaniques;Examiner le jeu des axes et des fixations des ferrures principales de voilure et d’empennage en effectuant des sollicitations manuelles verticales et horizontales aux extrémités.;2;0;1
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Planeur monté - Vérification des commandes de vol;Gouvernes branchées et commandes bloqués, vérification des jeux de timonerie, liberté de débattement, points durs et jeux sur les gouvernes;2;Vérification commande et gouvernes de gauchissement;Gouvernes branchées et manche bloqué, examiner les jeux des timoneries de gauchissement. Apprécier la liberté de débattement des gouvernes, la présence de points durs et/ou de jeu. Mesurer les débattements et les noter sur la fiche dédiée.;2;0;2
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Planeur monté - Vérification des commandes de vol;Gouvernes branchées et commandes bloqués, vérification des jeux de timonerie, liberté de débattement, points durs et jeux sur les gouvernes;2;Vérification commande et gouvernes de profondeur;Gouvernes branchées et manche bloqué, examiner les jeux des timoneries de profondeur. Apprécier la liberté de débattement de la  gouverne, la présence de points durs et/ou de jeu. Mesurer les débattements et les noter sur la fiche dédiée.;2;0;3
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Planeur monté - Vérification des commandes de vol;Gouvernes branchées et commandes bloqués, vérification des jeux de timonerie, liberté de débattement, points durs et jeux sur les gouvernes;2;Vérification commande et gouvernes de direction;Apprécier la liberté de débattement de la  gouverne de direction, la présence de points durs et/ou de jeu dans les axes. Mesurer les débattements et les noter sur la fiche dédiée.;2;0;4
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Planeur monté - Vérification des commandes de vol;Gouvernes branchées et commandes bloqués, vérification des jeux de timonerie, liberté de débattement, points durs et jeux sur les gouvernes;2;Vérification commande d'AF et aérofreins;Aérofreins branchées et poignée, examiner les jeux des timoneries des aérofreins. Contrôler le bon fonctionnement de la symétrie en position sortie sur chaque aile. Apprécier la dureté du verrouillage qui doit être suffisante. Mesurer les débattements et les noter sur la fiche dédiée.;2;0;5
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Planeur monté - Vérification des commandes de vol;Gouvernes branchées et commandes bloqués, vérification des jeux de timonerie, liberté de débattement, points durs et jeux sur les gouvernes;2;Enregistrement remplacement pièce défectueuse;En cas de défaut constaté au cours de l’étape précédente entraînant la nécessité de remplacement d’une pièce, faire appel à un personnel qualifié pour situer l’origine des jeux et notifier l'obligation de changer la pièce défectueuse (roulement, rotule, axe) lors de l'entretien planeur démonté.;3;0;6
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Nettoyage, lavage et rinçage;Retirer les traces de scotch, laver l'aile à l'eau avec du savon noir puis la rincer.;1;0;7
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Examen de l'état de surface;"Examiner soigneusement l’état de surface après nettoyage.
Détecter les trous, les criques, les délaminages et les enfoncements locaux par recherche visuelle et au toucher. Contrôler qu'aucune partie blanchâtre n'apparaisse dans la fibre. Noter tous les défauts en les marquant avec un crayon gras.";3;0;8
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Examen des inserts dans la fibre;Contrôler que l'ensemble des insertions dans la fibre soient bien collés et ne présentent aucun jeu. Noter tous les défauts en les marquant avec un crayon gras.;3;0;9
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Examen des inserts dans la fibre;Vérifier que toutes les pièces métalliques visibles soient en bon état et sans jeu excessif. Si nécessaire, supprimer la corrosion, après décapage, en appliquant une couche de protection anticorrosion.;3;0;10
